sql_id,child,inst_id,schema,kind,rc,elapsed_ms,rows_or_updatecount,error_class,ts
bwu82wrzdwrzw,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,1,1,,2026-08-04T08:45:25
58fpkr725q7rp,0,1,HTZ,dml,1,0,,blocked,2026-08-04T08:45:25
58fpkr725q7rp,0,1,HTZ,dml,0,3,1,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,0,dry,,2026-08-04T08:45:25
bwu82wrzdwrzw,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:25
9btc6b2hypw6a,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:26
58fpkr725q7rp,0,1,HTZ,dml,1,0,,blocked,2026-08-04T08:45:26
58fpkr725q7rp,0,1,HTZ,dml,0,4,1,,2026-08-04T08:45:26
00g88gb47bcz6,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
04vfkrajpkrnj,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
087wp5amfwh1n,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
0934v7nwr5ux5,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
0970bxxhucvb5,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
58fpkr725q7rp,0,1,HTZ,dml,0,0,dry,blocked_dry,2026-08-04T08:45:26
9btc6b2hypw6a,0,1,HTZ,query,0,1,dry,,2026-08-04T08:45:26
bwu82wrzdwrzw,0,1,HTZ,query,0,0,dry,,2026-08-04T08:45:26
9btc6b2hypw6a,0,1,HTZ,query,0,2,1,,2026-08-04T08:45:27
8j2wvuh066drs,0,1,HTZ,query,0,8,1,,2026-08-04T08:45:32
